         Age_diff (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                      125                         0                         0                         0 
                      130               5.41009e-75                         0                         0 
                      135               2.59684e-74                         0                         0 
                      140               3.40836e-73                         0                         0 
                      145                3.3759e-73                         0                         0 
                      150               4.72301e-72                         0                         0 
                      155               4.70029e-72                         0                         0 
                      160               6.57813e-71                         0                         0 
                      165               6.54664e-71                         0                         0 
                      170               9.16215e-70                         0                         0 
                      175                9.1183e-70                         0                         0 
                      180               1.27612e-68                         0                         0 
                      185               1.27002e-68                         0                         0 
                      190               1.77741e-67                         0                         0 
                      195                1.7689e-67                         0                         0 
                      200               2.47561e-66                         0                         0 
                      205               2.46376e-66                         0                         0 
                      210               3.44809e-65                         0                         0 
                      215               3.43158e-65                         0                         0 
                      220               4.80256e-64                         0                         0 
                      225               4.77958e-64                         0                         0 
                      230               6.68911e-63                         0                         0 
                      235               6.65709e-63                         0                         0 
                      240               9.31672e-62                         0                         0 
                      245               9.27213e-62                         0                         0 
                      250               1.29765e-60                         0                         0 
                      255               1.29144e-60                         0                         0 
                      260                1.8074e-59                         0                         0 
                      265               1.79875e-59                         0                         0 
                      270               2.51738e-58                         0                         0 
                      275               2.50533e-58                         0                         0 
                      280               3.50626e-57                         0                         0 
                      285               3.48947e-57                         0                         0 
                      290               4.88358e-56                         0                         0 
                      295               4.86021e-56                         0                         0 
                      300               6.80195e-55                         0                         0 
                      305                6.7694e-55                         0                         0 
                      310                9.4739e-54                         0                         0 
                      315               9.42856e-54                         0                         0 
                      320               1.31954e-52                         0                         0 
                      325               1.31323e-52                         0                         0 
                      330               1.83789e-51                         0                         0 
                      335               1.82909e-51                         0                         0 
                      340               2.55985e-50                         0                         0 
                      345                2.5476e-50                         0                         0 
                      350               3.56541e-49                         0                         0 
                      355               3.54834e-49                         0                         0 
                      360               4.96597e-48                         0                         0 
                      365                4.9422e-48                         0                         0 
                      370               6.91671e-47                         0                         0 
                      375                6.8836e-47                         0                         0 
                      380               9.63373e-46                         0                         0 
                      385               9.58762e-46                         0                         0 
                      390               1.34181e-44                         0                         0 
                      395               1.33538e-44                         0                         0 
                      400               1.86889e-43                         0                         0 
                      405               1.85995e-43                         0                         0 
                      410               2.60303e-42                         0                         0 
                      415               2.59057e-42                         0                         0 
                      420               3.62556e-41                         0                         0 
                      425               3.60821e-41                         0                         0 
                      430               5.04975e-40                         0                         0 
                      435               5.02558e-40                         0                         0 
                      440                7.0334e-39                         0                         0 
                      445               6.99973e-39                         0                         0 
                      450               9.79626e-38                         0                         0 
                      455               9.74937e-38                         0                         0 
                      460               1.36444e-36                         0                         0 
                      465               1.35791e-36                         0                         0 
                      470               1.90042e-35                         0                         0 
                      475               1.89133e-35                         0                         0 
                      480               2.64695e-34                         0                         0 
                      485               2.63428e-34                         0                         0 
                      490               3.68672e-33                         0                         0 
                      495               3.66908e-33                         0                         0 
                      500               5.13494e-32                         0                         0 
                      505               5.11037e-32                         0                         0 
                      510               7.15205e-31                         0                         0 
                      515               7.11782e-31                         0                         0 
                      520               9.96153e-30                         0                         0 
                      525               9.91385e-30                         0                         0 
                      530               1.38746e-28                         0                         0 
                      535               1.38082e-28                         0                         0 
                      540               1.93248e-27                         0                         0 
                      545               1.92323e-27                         0                         0 
                      550                2.6916e-26                         0                         0 
                      555               2.67872e-26                         0                         0 
                      560               3.74892e-25                         0                         0 
                      565               3.73098e-25                         0                         0 
                      570               5.22157e-24                         0                         0 
                      575               5.19658e-24                         0                         0 
                      580               7.27272e-23                         0                         0 
                      585                7.2379e-23                         0                         0 
                      590               1.01296e-21                         0                         0 
                      595               1.00811e-21                         0                         0 
                      600               1.41087e-20                         0                         0 
                      605               1.40412e-20                         0                         0 
                      610               1.96509e-19                         0                         0 
                      615               1.95568e-19                         0                         0 
                      620               2.73701e-18                         0                         0 
                      625               2.72391e-18                         0                         0 
                      630               3.81217e-17                         0                         0 
                      635               3.79392e-17                         0                         0 
                      640               5.30966e-16                         0                         0 
                      645               5.28425e-16                         0                         0 
                      650               7.39541e-15                         0                         0 
                      655               7.36001e-15                         0                         0 
                      660               1.03005e-13                         0                         0 
                      665               1.02512e-13                         0                         0 
                      670               1.43467e-12                         0                         0 
                      675                1.4278e-12                         0                         0 
                      680               1.99824e-11                         0                         0 
                      685               1.98867e-11                         0                         0 
                      690               2.78319e-10                         0                         0 
                      695               2.76987e-10                         0                         0 
                      700               3.87648e-09                         0                         0 
                      705               3.85793e-09                         0                         0 
                      710               5.39924e-08                         0                         0 
                      715                5.3734e-08                         0                         0 
                      720               7.52017e-07                         0                         0 
                      725               7.48418e-07                         0                         0 
                      730               1.04743e-05                         0                         0 
                      735               1.04241e-05                         0                         0 
                      740               0.000145887                         0                         0 
                      745               0.000237559                         0                         0 
                      750               0.000330542                         0                         0 
                      755               0.000454442                         0                         0 
                      760               0.000454442                         0                         0 
                      765               0.000318979                         0                         0 
                      770               0.000317677                         0                         0 
                      775               0.000473725                         0                         0 
                      780               0.000448762                         0                         0 
                      785               0.000448762                         0                         0 
                      790               0.000683135                         0                         0 
