                 Age (BP)   Period_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454    Period_1 late boundary   Period_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448    Period_2 late boundary 
                     2760                         0                         0                         0                         0                         0                         0                         0                         0                         0              1.70822e-258                         0                         0               2.30061e-36                         0 
                     2765                         0                         0                         0                         0                         0                         0                         0                         0              1.80729e-272              1.13881e-258              3.73278e-252              5.12973e-223               1.53374e-36               9.44579e-18 
                     2770                         0                         0                         0                         0                         0                         0                         0                         0              8.67496e-272              5.12465e-258              1.79173e-251              2.46227e-222               6.90184e-36               4.53398e-17 
                     2775                         0                         0                         0                         0                         0                         0                         0                         0              1.13859e-270                4.783e-258              2.35165e-250              3.23173e-221               6.44172e-36               5.95085e-16 
                     2780                         0                         0                         0                         0                         0                         0                         0                         0              1.12775e-270              6.66204e-257              2.32925e-250              3.20095e-221               8.97239e-35               5.89417e-16 
                     2785                         0                         0                         0                         0                         0                         0                         0                         0              1.57776e-269              6.62788e-257              3.25872e-249              4.47825e-220               8.92638e-35               8.24618e-15 
                     2790                         0                         0                         0                         0                         0                         0                         0                         0              1.57017e-269              9.27562e-256              3.24304e-249              4.45671e-220               1.24923e-33                8.2065e-15 
                     2795                         0                         0                         0                         0                         0                         0                         0                         0              2.19748e-268               9.2312e-256              4.53869e-248              6.23724e-219               1.24325e-33               1.14851e-13 
                     2800                         0                         0                         0                         0                         0                         0                         0                         0              2.18696e-268              1.29192e-254              4.51696e-248              6.20738e-219               1.73995e-32               1.14302e-13 
                     2805                         0                         0                         0                         0                         0                         0                         0                         0              3.06069e-267              1.28574e-254              6.32157e-247              8.68735e-218               1.73163e-32               1.59967e-12 
                     2810                         0                         0                         0                         0                         0                         0                         0                         0              3.04604e-267              1.79942e-253              6.29132e-247              8.64577e-218               2.42344e-31               1.59202e-12 
                     2815                         0                         0                         0                         0                         0                         0                         0                         0              4.26299e-266              1.79081e-253              8.80482e-246              1.20999e-216               2.41184e-31               2.22806e-11 
                     2820                         0                         0                         0                         0                         0                         0                         0                         0              4.24259e-266              2.50627e-252              8.76267e-246               1.2042e-216               3.37542e-30               2.21739e-11 
                     2825                         0                         0                         0                         0                         0                         0                         0                         0              5.93758e-265              2.49427e-252              1.22635e-244               1.6853e-215               3.35926e-30               3.10328e-10 
                     2830                         0                         0                         0                         0                         0                         0                         0                         0              5.90916e-265              3.49078e-251              1.22048e-244              1.67723e-215               4.70135e-29               3.08843e-10 
                     2835                         0                         0                         0                         0                         0                         0                         0                         0              8.26998e-264              3.47407e-251              1.70809e-243              2.34732e-214               4.67885e-29               4.32231e-09 
                     2840                         0                         0                         0                         0                         0                         0                         0                         0               8.2304e-264              4.86203e-250              1.69991e-243              2.33609e-214               6.54814e-28               4.30163e-09 
                     2845                         0                         0                         0                         0                         0                         0                         0                         0              1.15186e-262              4.83875e-250              2.37906e-242               3.2694e-213                6.5168e-28               6.02021e-08 
                     2850                         0                         0                         0                         0                         0                         0                         0                         0              1.14635e-262              6.77193e-249              2.36767e-242              3.25375e-213               9.12038e-27               5.99139e-08 
                     2855                         0                         0                         0                         0                         0                         0                         0                         0              1.60433e-261              6.73952e-249              3.31361e-241              4.55368e-212               9.07673e-27               8.38507e-07 
                     2860                         0                         0                         0                         0                         0                         0                         0                         0              1.59666e-261              9.43208e-248              3.29774e-241              4.53189e-212               1.27031e-25               8.34493e-07 
                     2865                         0                         0                         0                         0                         0                         0                         0                         0              2.23455e-260              9.38693e-248              4.61526e-240              6.34246e-211               1.26423e-25               1.16789e-05 
                     2870                         0                         0                         0                         0                         0                         0                         0                         0              2.22385e-260              1.31372e-246              4.59317e-240               6.3121e-211               1.76931e-24                1.1623e-05 
                     2875                         0                         0                         0                         0                         0                         0                         0                         0              3.11233e-259              1.30743e-246              6.42822e-239              8.83391e-210               1.76084e-24               0.000162666 
                     2880                         0                         0                         0                         0                         0                         0                         0                         0              3.09743e-259              1.82978e-245              6.39746e-239              8.79163e-210               2.46433e-23               0.000198031 
                     2885                         0                         0                         0                         0                         0                         0                         0                         0              4.33491e-258              1.82102e-245              8.95336e-238               1.2304e-208               2.45253e-23               0.000502257 
                     2890                         0                         0                         0                         0                         0                         0                         0                         0              4.31416e-258              2.54855e-244              8.91051e-238              1.22452e-208               3.43236e-22                 0.0010379 
                     2895                         0                         0                         0                         0                         0                         0                         0                         0              6.03775e-257              2.53635e-244              1.24704e-236              1.71373e-207               3.41594e-22                0.00154695 
                     2900                         0                         0                         0                         0                         0                         0                         0                         0              6.00885e-257              3.54967e-243              1.24107e-236              1.70553e-207               4.78067e-21                0.00181243 
                     2905                         0                         0                         0                         0                         0                         0                         0                         0               8.4095e-256              3.53268e-243              1.73691e-235              2.38692e-206               4.75779e-21                0.00260036 
                     2910                         0                         0                         0                         0                         0                         0                         0                         0              8.36925e-256              4.94405e-242              1.72859e-235               2.3755e-206               6.65861e-20                0.00338206 
                     2915                         0                         0                         0                         0                         0                         0                         0                         0              1.17129e-254              4.92039e-242               2.4192e-234              3.32455e-205               6.62674e-20                0.00426607 
                     2920                         0                         0                         0                         0                         0                         0                         0                         0              1.16569e-254              6.88618e-241              2.40762e-234              3.30864e-205               9.27425e-19                0.00534695 
                     2925                         0                         0                         0                         0                         0                         0                         0                         0               1.6314e-253              6.85322e-241              3.36951e-233               4.6305e-204               9.22986e-19                 0.0067377 
                     2930                         0                         0                         0                         0                         0                         0                         0              1.10921e-313              1.62359e-253              9.59121e-240              3.35338e-233              4.60834e-204               1.29174e-17                0.00789178 
                     2935                         0                         0                         0                         0                         0                         0                         0              2.46491e-313              2.27225e-252               9.5453e-240              4.69312e-232              6.44946e-203               1.28555e-17                 0.0108824 
                     2940                         0                         0                         0                         0                         0                         0                         0              2.46491e-313              2.26137e-252              1.33588e-238              4.67065e-232              6.41859e-203               1.79916e-16                 0.0145615 
                     2945                         0                         0                         0                         0                         0                         0                         0              3.94385e-313              3.16483e-251              1.32949e-238              6.53667e-231              8.98294e-202               1.79055e-16                 0.0166493 
                     2950                         0                         0                         0                         0                         0                         0                         0              3.94385e-313              3.14968e-251              1.86064e-237              6.50538e-231              8.93995e-202                2.5059e-15                 0.0196151 
                     2955                         0                         0                         0                         0                         0                         0                         0              2.83465e-313              4.40804e-250              1.85174e-237              9.10441e-230              1.25116e-200               2.49391e-15                 0.0230596 
                     2960                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              4.38694e-250              2.59154e-236              9.06083e-230              1.24517e-200               3.49027e-14                 0.0237113 
                     2965                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              6.13961e-249              2.57914e-236              1.26808e-228              1.74264e-199               3.47357e-14                 0.0224587 
                     2970                         0                         0                         0                         0                         0                         0                         0              1.10921e-313              6.11023e-249              3.60955e-235              1.26201e-228               1.7343e-199               4.86132e-13                 0.0256177 
                     2975                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              8.55138e-248              3.59228e-235              1.76621e-227              2.42719e-198               4.83805e-13                 0.0292306 
                     2980                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              8.51044e-248              5.02746e-234              1.75775e-227              2.41557e-198               6.77095e-12                 0.0320148 
                     2985                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              1.19105e-246               5.0034e-234              2.46001e-226              3.38064e-197               6.73854e-12                   0.03646 
                     2990                         0                         0                         0                         0                         0                         0                         0              2.58815e-313              1.18535e-246              7.00235e-233              2.44824e-226              3.36446e-197               9.43071e-11                 0.0410886 
                     2995                         0                         0                         0                         0                         0                         0                         0              3.82061e-313              1.65892e-245              6.96883e-233              3.42635e-225              4.70862e-196               9.38557e-11                 0.0421229 
                     3000                         0                         0                         0                         0                         0                         0                         0              3.35228e-313              1.65098e-245              9.75301e-232              3.40995e-225              4.68609e-196               1.31353e-09                 0.0405552 
                     3005                         0                         0                         0                         0                         0                         0                         0              3.35228e-313              2.31058e-244              9.70633e-232              4.77229e-224              6.55827e-195               1.30724e-09                 0.0403929 
                     3010                         0                         0                         0                         0                         0                         0                         0              3.59877e-313              2.29952e-244              1.35842e-230              4.74945e-224              6.52688e-195               1.82951e-08                 0.0420099 
                     3015                         0                         0                         0                         0                         0                         0                         0              3.59877e-313              3.21822e-243              1.35192e-230              6.64695e-223              9.13449e-194               1.82075e-08                 0.0417025 
                     3020                         0                         0                         0                         0                         0                         0                         0              1.75255e-312              3.20282e-243              1.89203e-229              6.61513e-223              9.09077e-194               2.54818e-07                  0.040715 
                     3025                         0                         0                         0                         0                         0                         0                         0              1.65149e-312              4.48241e-242              1.88298e-229                9.258e-222              1.27227e-192               2.53598e-07                 0.0413734 
                     3030                         0                         0                         0                         0                         0                         0                         0              2.09517e-311              4.46095e-242              2.63526e-228              9.21369e-222              1.26618e-192               3.54915e-06                 0.0415269 
                     3035                         0                         0                         0                         0                         0                         0                         0              2.08162e-311              6.24319e-241              2.62265e-228              1.28947e-220              1.77204e-191               3.53217e-06                 0.0390547 
                     3040                         0                         0                         0                         0                         0                         0                         0              2.88799e-310              6.21331e-241              3.67045e-227               1.2833e-220              1.76356e-191               4.94333e-05                 0.0379928 
                     3045                         0                         0                         0                         0                         0                         0                         0              2.87283e-310              8.69564e-240              3.65288e-227                1.796e-219              2.46814e-190               4.91967e-05                 0.0375143 
                     3050                         0                         0                         0                         0                         0                         0                         0              4.02142e-309              8.65402e-240              5.11228e-226              1.78741e-219              2.45632e-190               0.000688518                 0.0362912 
                     3055                         0                         0                         0                         0                         0                         0                         0              4.00212e-309              1.21115e-238              5.08781e-226              2.50151e-218              3.43767e-189                0.00189571                 0.0326647 
                     3060                         0                         0                         0                         0                         0                         0                         0              5.60127e-308              1.20535e-238              7.12048e-225              2.48954e-218              3.42122e-189                0.00360737                 0.0285992 
                     3065                         0                         0                         0                         0                         0                         0                         0              5.57447e-308              1.68691e-237               7.0864e-225              3.48416e-217              4.78806e-188                0.00749256                 0.0262932 
                     3070                         0                         0                         0                         0                         0                         0                         0               7.8016e-307              1.67884e-237              9.91755e-224              3.46748e-217              4.76514e-188                 0.0116353                 0.0227872 
                     3075                         0                         0                         0                         0                         0                         0                         0              7.76425e-307              2.34956e-236              9.87008e-224               4.8528e-216              6.66891e-187                 0.0180667                 0.0187227 
                     3080                         0                         0                         0                         0                         0                         0                         0              1.08662e-305              2.33832e-236              1.38134e-222              4.82958e-216              6.63699e-187                 0.0233923                 0.0150929 
                     3085                         0                         0                         0                         0                         0                         0                         0              1.08142e-305              3.27252e-235              1.37473e-222              6.75908e-215              9.28859e-186                 0.0262286                 0.0114824 
