   Phase_1 early boundary                  LuA-5456                  LuA-5455                  LuA-5454     Phase_1 late boundary    Phase_2 early boundary                  LuA-5453                  LuA-5452                  LuA-5445                  LuA-5451                  LuA-5450                  LuA-5449                  LuA-5448     Phase_2 late boundary 
                    11560                     11482                      9262                      8587                      8453                      7277                      6979                      5741                      5132                      5009                      4953                      4696                      3087                      2955 
                    11585                     11483                      9263                      8587                      8118                      7212                      6979                      5739                      5130                      5011                      4950                      4695                      3087                      2938 
                    11547                     11480                      9259                      8585                      8329                      7311                      6981                      5738                      5130                      5011                      4952                      4696                      3086                      2981 
                    11596                     11480                      9264                      8584                      8339                      7387                      6976                      5740                      5130                      5011                      4953                      4698                      3088                      3006 
                    11592                     11482                      9265                      8583                      8272                      7205                      6978                      5741                      5130                      5011                      4954                      4694                      3083                      2998 
                    11589                     11485                      9268                      8584                      8237                      7257                      6980                      5741                      5131                      5013                      4952                      4693                      3083                      2978 
                    11587                     11486                      9271                      8588                      8334                      7207                      6983                      5741                      5129                      5011                      4951                      4693                      3083                      2910 
                    11634                     11483                      9268                      8586                      8281                      7220                      6984                      5741                      5129                      5012                      4956                      4692                      3082                      3016 
                    11630                     11480                      9271                      8587                      8281                      7254                      6984                      5742                      5127                      5010                      4958                      4692                      3079                      2983 
                    11654                     11481                      9271                      8589                      8192                      7191                      6985                      5740                      5126                      5010                      4957                      4691                      3080                      2967 
                    11645                     11482                      9270                      8592                      8435                      7283                      6984                      5737                      5125                      5013                      4958                      4690                      3081                      3016 
                    11701                     11481                      9268                      8589                      8111                      7154                      6983                      5736                      5124                      5013                      4961                      4692                      3078                      2916 
                    11631                     11482                      9269                      8588                      8333                      7279                      6983                      5733                      5126                      5015                      4961                      4692                      3077                      2985 
                    11682                     11482                      9268                      8584                      8307                      7225                      6987                      5732                      5127                      5014                      4960                      4692                      3075                      3021 
                    11580                     11481                      9266                      8585                      8381                      7245                      6986                      5731                      5126                      5015                      4960                      4692                      3076                      2983 
                    11652                     11481                      9266                      8583                      8190                      7405                      6988                      5730                      5127                      5011                      4965                      4693                      3076                      2970 
                    11641                     11481                      9262                      8583                      8442                      7401                      6987                      5731                      5127                      5014                      4966                      4694                      3075                      2984 
                    11642                     11483                      9263                      8582                      8323                      7157                      6986                      5730                      5128                      5014                      4965                      4695                      3076                      2968 
                    11592                     11484                      9268                      8584                      8432                      7137                      6985                      5732                      5130                      5013                      4962                      4696                      3077                      2990 
                    11653                     11480                      9269                      8585                      8441                      7237                      6985                      5735                      5129                      5013                      4964                      4696                      3076                      3031 
                    11688                     11481                      9269                      8587                      8438                      7360                      6986                      5736                      5126                      5014                      4963                      4693                      3076                      3012 
                    11617                     11483                      9268                      8586                      8348                      7076                      6986                      5738                      5127                      5014                      4963                      4693                      3075                      2947 
                    11628                     11483                      9267                      8587                      8114                      7211                      6986                      5736                      5127                      5019                      4963                      4692                      3076                      3003 
                    11569                     11486                      9268                      8589                      8268                      7379                      6986                      5737                      5125                      5018                      4963                      4692                      3075                      3001 
                    11621                     11485                      9268                      8590                      8404                      7241                      6986                      5738                      5126                      5016                      4962                      4692                      3073                      3016 
                    11671                     11485                      9269                      8589                      8473                      7044                      6985                      5735                      5129                      5012                      4964                      4690                      3073                      2952 
                    11548                     11486                      9267                      8588                      8343                      7151                      6986                      5735                      5133                      5010                      4969                      4689                      3074                      2990 
                    11690                     11486                      9267                      8587                      8058                      7304                      6988                      5735                      5132                      5012                      4970                      4689                      3072                      2952 
                    11676                     11486                      9269                      8587                      8484                      7079                      6988                      5733                      5131                      5012                      4967                      4688                      3074                      2995 
                    11690                     11486                      9271                      8587                      8391                      7255                      6986                      5734                      5132                      5008                      4965                      4686                      3073                      2934 
                    11593                     11489                      9274                      8589                      8355                      7376                      6982                      5733                      5133                      5010                      4967                      4686                      3069                      2917 
                    11660                     11489                      9273                      8586                      8418                      7163                      6984                      5734                      5134                      5011                      4971                      4686                      3065                      2897 
                    11599                     11492                      9273                      8584                      8071                      7110                      6986                      5735                      5134                      5009                      4970                      4687                      3063                      2992 
                    11604                     11490                      9274                      8584                      8355                      7362                      6988                      5735                      5133                      5009                      4971                      4688                      3062                      2945 
                    11652                     11490                      9274                      8583                      8306                      7136                      6988                      5736                      5135                      5007                      4972                      4689                      3064                      2999 
                    11680                     11492                      9275                      8585                      8381                      7178                      6989                      5736                      5136                      5007                      4973                      4689                      3066                      2978 
                    11761                     11494                      9274                      8583                      8137                      7137                      6989                      5737                      5135                      5008                      4972                      4692                      3065                      3009 
                    11626                     11496                      9272                      8586                      8453                      7248                      6988                      5738                      5134                      5010                      4972                      4692                      3069                      2954 
                    11678                     11496                      9271                      8586                      8176                      7288                      6984                      5738                      5133                      5010                      4970                      4693                      3067                      2937 
                    11658                     11494                      9271                      8587                      8401                      7395                      6984                      5740                      5133                      5010                      4971                      4693                      3065                      2988 
                    11663                     11494                      9269                      8584                      8249                      7148                      6986                      5740                      5133                      5011                      4972                      4697                      3067                      3021 
                    11701                     11495                      9265                      8583                      8347                      7167                      6989                      5745                      5133                      5007                      4972                      4696                      3072                      2998 
                    11606                     11495                      9264                      8585                      8322                      7140                      6987                      5746                      5137                      5005                      4972                      4698                      3070                      2922 
                    11755                     11493                      9264                      8586                      8304                      7291                      6987                      5746                      5138                      5004                      4971                      4701                      3072                      3009 
                    11675                     11494                      9262                      8586                      8344                      7242                      6986                      5746                      5138                      5007                      4971                      4700                      3075                      2999 
                    11635                     11493                      9258                      8588                      8138                      7099                      6985                      5749                      5141                      5006                      4973                      4703                      3076                      2947 
                    11594                     11491                      9259                      8589                      8460                      7285                      6985                      5750                      5145                      5009                      4971                      4700                      3077                      2926 
                    11690                     11491                      9263                      8591                      8347                      7399                      6984                      5747                      5145                      5013                      4971                      4702                      3072                      3039 
                    11605                     11492                      9263                      8590                      8369                      7145                      6985                      5745                      5146                      5013                      4971                      4702                      3076                      3042 
                    11551                     11489                      9266                      8588                      8327                      7180                      6983                      5747                      5148                      5010                      4966                      4703                      3077                      3003 
                    11685                     11488                      9267                      8587                      8541                      7151                      6985                      5745                      5147                      5008                      4970                      4701                      3080                      2939 
                    11688                     11486                      9270                      8588                      8259                      7305                      6983                      5747                      5150                      5006                      4971                      4702                      3080                      2916 
                    11612                     11487                      9268                      8590                      8328                      7168                      6982                      5749                      5149                      5005                      4972                      4703                      3081                      2991 
                    11623                     11489                      9268                      8593                      8353                      7435                      6981                      5748                      5149                      5001                      4973                      4703                      3085                      3046 
                    11667                     11491                      9268                      8592                      8489                      7398                      6983                      5747                      5151                      5004                      4975                      4705                      3083                      3012 
                    11759                     11490                      9266                      8590                      8256                      7232                      6981                      5743                      5151                      5004                      4975                      4707                      3083                      3016 
                    11673                     11492                      9266                      8590                      8389                      7209                      6981                      5746                      5151                      5003                      4976                      4706                      3078                      2986 
                    11648                     11496                      9268                      8592                      8269                      7162                      6978                      5743                      5152                      5004                      4978                      4705                      3079                      2964 
                    11726                     11498                      9270                      8592                      8388                      7256                      6981                      5743                      5152                      5005                      4977                      4705                      3079                      3004 
                    11601                     11498                      9270                      8592                      8421                      7220                      6977                      5741                      5150                      5005                      4975                      4704                      3082                      3013 
                    11588                     11497                      9266                      8592                      8321                      7109                      6978                      5741                      5150                      5007                      4976                      4703                      3083                      2991 
                    11655                     11497                      9263                      8592                      8214                      7272                      6981                      5740                      5152                      5004                      4976                      4704                      3080                      2999 
                    11711                     11496                      9265                      8591                      8317                      7305                      6980                      5739                      5154                      5005                      4979                      4700                      3080                      2988 
                    11572                     11499                      9265                      8589                      8202                      7235                      6981                      5740                      5156                      5006                      4979                      4700                      3083                      3016 
                    11674                     11498                      9263                      8588                      8293                      7213                      6985                      5739                      5151                      5007                      4979                      4701                      3084                      2907 
                    11535                     11498                      9262                      8587                      8326                      7381                      6988                      5740                      5151                      5009                      4982                      4701                      3085                      3043 
                    11682                     11499                      9263                      8584                      8321                      7215                      6986                      5738                      5153                      5009                      4982                      4703                      3088                      2984 
                    11721                     11500                      9262                      8586                      8466                      7355                      6984                      5737                      5155                      5009                      4982                      4704                      3089                      2986 
                    11699                     11503                      9262                      8584                      8165                      7175                      6986                      5736                      5152                      5008                      4982                      4706                      3087                      2923 
                    11598                     11506                      9262                      8580                      8417                      7281                      6984                      5737                      5153                      5006                      4982                      4704                      3088                      2991 
                    11582                     11505                      9264                      8578                      8230                      7125                      6981                      5735                      5154                      5008                      4983                      4705                      3088                      2940 
                    11631                     11506                      9260                      8577                      8249                      7202                      6981                      5731                      5155                      5008                      4982                      4703                      3084                      3003 
                    11609                     11509                      9260                      8576                      8124                      7282                      6979                      5731                      5155                      5011                      4986                      4703                      3087                      2971 
                    11677                     11509                      9259                      8576                      8267                      7122                      6978                      5732                      5157                      5012                      4985                      4705                      3086                      2978 
                    11622                     11509                      9259                      8575                      8424                      7205                      6978                      5735                      5160                      5012                      4983                      4706                      3085                      2950 
                    11586                     11506                      9254                      8576                      8280                      7269                      6978                      5732                      5160                      5012                      4986                      4705                      3084                      2964 
                    11571                     11508                      9255                      8577                      8412                      7209                      6976                      5732                      5161                      5012                      4987                      4705                      3087                      2934 
                    11640                     11508                      9255                      8576                      8162                      7066                      6975                      5731                      5164                      5011                      4987                      4705                      3087                      2908 
                    11568                     11508                      9258                      8579                      8334                      7142                      6972                      5730                      5166                      5010                      4987                      4707                      3087                      2929 
                    11660                     11509                      9257                      8575                      8359                      7271                      6970                      5731                      5165                      5011                      4987                      4703                      3091                      2993 
                    11694                     11509                      9255                      8576                      8312                      7193                      6970                      5732                      5165                      5012                      4986                      4703                      3089                      3037 
                    11595                     11510                      9256                      8576                      8224                      7214                      6965                      5730                      5165                      5013                      4989                      4702                      3088                      3035 
                    11654                     11510                      9258                      8578                      8332                      7228                      6965                      5733                      5166                      5014                      4985                      4701                      3088                      2953 
                    11680                     11509                      9258                      8579                      8461                      7315                      6969                      5732                      5165                      5013                      4986                      4698                      3088                      3022 
                    11625                     11509                      9261                      8580                      8451                      7402                      6971                      5732                      5164                      5016                      4985                      4698                      3089                      3031 
                    11626                     11508                      9262                      8584                      8342                      7309                      6973                      5733                      5163                      5016                      4984                      4695                      3086                      2999 
                    11658                     11506                      9263                      8584                      8382                      7345                      6972                      5736                      5165                      5015                      4984                      4694                      3085                      2993 
                    11716                     11505                      9261                      8584                      8457                      7349                      6971                      5734                      5167                      5017                      4988                      4693                      3088                      3005 
                    11697                     11505                      9264                      8586                      8465                      7180                      6971                      5735                      5170                      5014                      4991                      4692                      3090                      2955 
                    11623                     11505                      9264                      8588                      8355                      7431                      6969                      5735                      5169                      5017                      4990                      4695                      3091                      2948 
                    11686                     11504                      9267                      8587                      8283                      7254                      6965                      5736                      5171                      5017                      4993                      4698                      3091                      3046 
                    11632                     11501                      9266                      8588                      8269                      7125                      6964                      5737                      5171                      5019                      4991                      4699                      3092                      2984 
                    11650                     11506                      9266                      8586                      8337                      7261                      6964                      5738                      5170                      5018                      4990                      4699                      3092                      3011 
                    11734                     11506                      9266                      8588                      8035                      7193                      6964                      5738                      5171                      5020                      4988                      4697                      3088                      2979 
                    11589                     11505                      9264                      8587                      8293                      7167                      6964                      5737                      5171                      5022                      4987                      4696                      3088                      2963 
                    11649                     11506                      9267                      8585                      8413                      7161                      6964                      5740                      5170                      5024                      4987                      4702                      3090                      2941 
                    11718                     11505                      9265                      8585                      8323                      7097                      6962                      5741                      5169                      5023                      4985                      4704                      3091                      3042 
                    11610                     11507                      9262                      8582                      8283                      7336                      6964                      5743                      5170                      5023                      4987                      4703                      3091                      2976 
                    11692                     11502                      9257                      8581                      8310                      7286                      6964                      5744                      5167                      5021                      4989                      4704                      3094                      2914 
                    11578                     11501                      9257                      8583                      8219                      7251                      6966                      5745                      5166                      5020                      4990                      4703                      3094                      2968 
                    11639                     11502                      9258                      8583                      8443                      7349                      6970                      5747                      5164                      5021                      4989                      4703                      3094                      2897 
                    11546                     11503                      9254                      8580                      8373                      7269                      6971                      5745                      5164                      5017                      4990                      4706                      3095                      2999 
                    11649                     11505                      9253                      8578                      8315                      7164                      6973                      5745                      5162                      5018                      4991                      4708                      3096                      2941 
                    11654                     11506                      9251                      8580                      8473                      7219                      6972                      5744                      5161                      5015                      4990                      4707                      3094                      2952 
                    11605                     11502                      9254                      8580                      8418                      7056                      6976                      5745                      5158                      5013                      4990                      4708                      3091                      2946 
                    11721                     11505                      9254                      8583                      8310                      7141                      6973                      5743                      5155                      5012                      4991                      4707                      3090                      3022 
                    11609                     11501                      9249                      8582                      8339                      7187                      6973                      5742                      5156                      5012                      4993                      4707                      3087                      3021 
                    11583                     11499                      9249                      8583                      8303                      7195                      6973                      5742                      5157                      5014                      4992                      4709                      3088                      2974 
                    11679                     11496                      9246                      8587                      8338                      7160                      6975                      5744                      5152                      5012                      4997                      4711                      3087                      3028 
                    11711                     11496                      9248                      8584                      8091                      7179                      6973                      5742                      5154                      5011                      4995                      4714                      3087                      2996 
                    11704                     11498                      9243                      8585                      8432                      7262                      6972                      5746                      5154                      5011                      4996                      4714                      3085                      2969 
                    11560                     11498                      9243                      8587                      8451                      7347                      6971                      5744                      5153                      5013                      4998                      4713                      3083                      3002 
                    11697                     11497                      9242                      8588                      8124                      7090                      6969                      5742                      5153                      5014                      4997                      4714                      3084                      2975 
                    11592                     11496                      9245                      8590                      8350                      7257                      6970                      5742                      5155                      5011                      4998                      4712                      3081                      2919 
                    11613                     11496                      9248                      8585                      8470                      7213                      6969                      5744                      5156                      5011                      4996                      4711                      3082                      2954 
                    11567                     11497                      9246                      8583                      8274                      7170                      6968                      5741                      5157                      5013                      4995                      4711                      3083                      2979 
                    11608                     11498                      9244                      8583                      8234                      7246                      6971                      5740                      5157                      5014                      4992                      4713                      3086                      2944 
                    11680                     11496                      9244                      8582                      8105                      7164                      6969                      5742                      5156                      5014                      4993                      4714                      3086                      3052 
                    11698                     11498                      9244                      8579                      8262                      7176                      6968                      5742                      5156                      5012                      4993                      4713                      3087                      3020 
                    11635                     11496                      9244                      8579                      8439                      7227                      6967                      5743                      5154                      5010                      4991                      4715                      3089                      3028 
                    11619                     11496                      9245                      8582                      8337                      7239                      6967                      5744                      5154                      5012                      4994                      4714                      3092                      2963 
                    11629                     11495                      9244                      8583                      8384                      7348                      6968                      5746                      5155                      5011                      4991                      4714                      3090                      2915 
