         Mean_age (years)               Probability                 HPD_68.2%                 HPD_95.4% 
                    -4880              5.69241e-221                         0                         0 
                    -4875              3.79494e-221                         0                         0 
                    -4870              1.70772e-220                         0                         0 
                    -4865              1.59388e-220                         0                         0 
                    -4860              2.22004e-219                         0                         0 
                    -4855              2.20866e-219                         0                         0 
                    -4850              3.09098e-218                         0                         0 
                    -4845              3.07618e-218                         0                         0 
                    -4840              4.30517e-217                         0                         0 
                    -4835              4.28457e-217                         0                         0 
                    -4830              5.99633e-216                         0                         0 
                    -4825              5.96763e-216                         0                         0 
                    -4820              8.35181e-215                         0                         0 
                    -4815              8.31184e-215                         0                         0 
                    -4810              1.16326e-213                         0                         0 
                    -4805              1.15769e-213                         0                         0 
                    -4800              1.62021e-212                         0                         0 
                    -4795              1.61245e-212                         0                         0 
                    -4790              2.25666e-211                         0                         0 
                    -4785              2.24586e-211                         0                         0 
                    -4780              3.14312e-210                         0                         0 
                    -4775              3.12808e-210                         0                         0 
                    -4770               4.3778e-209                         0                         0 
                    -4765              4.35685e-209                         0                         0 
                    -4760              6.09749e-208                         0                         0 
                    -4755              6.06831e-208                         0                         0 
                    -4750              8.49271e-207                         0                         0 
                    -4745              8.45206e-207                         0                         0 
                    -4740              1.18288e-205                         0                         0 
                    -4735              1.17722e-205                         0                         0 
                    -4730              1.64754e-204                         0                         0 
                    -4725              1.63966e-204                         0                         0 
                    -4720              2.29473e-203                         0                         0 
                    -4715              2.28375e-203                         0                         0 
                    -4710              3.19615e-202                         0                         0 
                    -4705              3.18085e-202                         0                         0 
                    -4700              4.45166e-201                         0                         0 
                    -4695              4.43035e-201                         0                         0 
                    -4690              6.20036e-200                         0                         0 
                    -4685              6.17068e-200                         0                         0 
                    -4680              8.63599e-199                         0                         0 
                    -4675              8.59465e-199                         0                         0 
                    -4670              1.20284e-197                         0                         0 
                    -4665              1.19708e-197                         0                         0 
                    -4660              1.67534e-196                         0                         0 
                    -4655              1.66732e-196                         0                         0 
                    -4650              2.33344e-195                         0                         0 
                    -4645              2.32227e-195                         0                         0 
                    -4640              3.25007e-194                         0                         0 
                    -4635              3.23451e-194                         0                         0 
                    -4630              4.52676e-193                         0                         0 
